"","light_phase","network","block","treatment","day","time","location","focal_individual","behaviour","social_partner","partner_response","notes","patch_partner"
"68","dark",1,1,"twelve",1,"11:21 AM","4","F","Enter 4","unknown","","",NA
"69","dark",1,1,"twelve",1,"11:22 AM","Outside 2","E","Move outside 2","unknown","No longer with .1","",NA
"70","dark",1,1,"twelve",1,"11:26 AM","4","F","Exit 4","unknown","","",NA
"71","dark",1,1,"twelve",1,"11:26 AM","11","F","Enter 11","unknown","Touched .0 on the way in","",NA
"72","dark",1,1,"twelve",1,"11:29 AM","8","W","Exit 8","unknown","","",NA
"73","dark",1,1,"twelve",1,"11:30 AM","5","N","Move within 5","unknown","No longer with .3","",NA
"74","dark",1,1,"twelve",1,"11:32 AM","10","W","Enter 10","unknown","Bumped into 7.","",NA
"75","dark",1,1,"twelve",1,"11:32 AM","10","T","Exit 10","unknown","","",NA
"76","dark",1,1,"twelve",1,"11:33 AM","12","P","Exit 12","unknown","","",NA
"77","dark",1,1,"twelve",1,"11:37 AM","10","P","Enter 10","unknown","","",NA
"78","dark",1,1,"twelve",1,"11:41 AM","12","T","Enter 12","unknown","","",NA
"79","dark",1,1,"twelve",1,"12:05 PM","1","F","Move within 1","unknown","","",NA
"80","dark",1,1,"twelve",1,"12:14 PM","5","S","Exit 5","unknown","","",NA
"81","dark",1,1,"twelve",1,"12:15 PM","10","P","Exit 10","unknown","No longer with .7","",NA
"82","dark",1,1,"twelve",1,"12:17 PM","Open","Q","Bump","T","Ran away","","T"
"83","dark",1,1,"twelve",1,"12:17 PM","11","A","Exit 11","unknown","","",NA
"84","dark",1,1,"twelve",1,"12:18 PM","2","P","Enter 2","unknown","","",NA
"85","dark",1,1,"twelve",1,"12:18 PM","2","E","mount","V","Ran away","","V"
"86","dark",1,1,"twelve",1,"12:19 PM","2","P","Exit 2","unknown","","",NA
"87","dark",1,1,"twelve",1,"12:19 PM","2","V","Exit 2","unknown","","",NA
"88","dark",1,1,"twelve",1,"12:21 PM","5","D","Move within 5","N","","","N"
"89","dark",1,1,"twelve",1,"12:21 PM","9","V","Enter 9","unknown","","",NA
"90","dark",1,1,"twelve",1,"12:22 PM","Outside 7","K","mount","A","Ran away","","A"
"91","dark",1,1,"twelve",1,"12:23 PM","4","T","Enter 4","unknown","","",NA
"92","dark",1,1,"twelve",1,"12:23 PM","Open","A","mount","P","Ran away","","P"
"93","dark",1,1,"twelve",1,"12:24 PM","12","S","Enter 12","unknown","","",NA
"94","dark",1,1,"twelve",1,"12:24 PM","12","A","Enter 12","unknown","","",NA
"95","dark",1,1,"twelve",1,"12:24 PM","12","A","mount","S","Ran away","","S"
"96","dark",1,1,"twelve",1,"12:25 PM","12","S","Exit 12","unknown","","",NA
"97","dark",1,1,"twelve",1,"12:25 PM","8","X","Exit 8","unknown","","",NA
"98","dark",1,1,"twelve",1,"12:26 PM","4","P","Enter 4","unknown","","",NA
"99","dark",1,1,"twelve",1,"12:26 PM","Open","K","mating","X","Running around","","X"
"100","dark",1,1,"twelve",1,"12:27 PM","Outside 2","E","mount","K","","Mounted :0 who was mating with 1:","K"
"101","dark",1,1,"twelve",1,"12:28 PM","5","D","Move within 5","unknown","No longer with 1.","",NA
"102","dark",1,1,"twelve",1,"12:30 PM","1","K","Enter 1","unknown","","",NA
"103","dark",1,1,"twelve",1,"12:32 PM","11","M","Left 11","unknown","","",NA
"104","dark",1,1,"twelve",1,"12:33 PM","12","A","Exit 12","unknown","","",NA
"105","dark",1,1,"twelve",1,"12:34 PM","Open","X","Bump","S","Ran away","","S"
"106","dark",1,1,"twelve",1,"12:35 PM","3","S","Enter 3","unknown","","",NA
"107","dark",1,1,"twelve",1,"12:37 PM","11","B","Enter 11","L","","","L"
"108","dark",1,1,"twelve",1,"12:39 PM","5","D","Exit 5","unknown","","",NA
"109","dark",1,1,"twelve",1,"12:39 PM","3","S","Exit 3","unknown","","",NA
"110","dark",1,1,"twelve",1,"12:40 PM","8","A","Enter 8","R","","","R"
"111","dark",1,1,"twelve",1,"12:41 PM","Open","A","mount","S","Ran away","","S"
"112","dark",1,1,"twelve",1,"12:41 PM","8","M","Move within 8","unknown","","",NA
"113","dark",1,1,"twelve",1,"12:45 PM","9","V","Exit 9","unknown","","",NA
"114","dark",1,1,"twelve",1,"12:46 PM","Open","B","mating","V","Running around, entered 2","","V"
"115","dark",1,1,"twelve",1,"12:47 PM","2","C","mount","V","","Tried to mount 9. while .1 was mating with her which ended the mating","V"
"116","dark",1,1,"twelve",1,"12:48 PM","2","V","Exit 2","unknown","","",NA
"117","dark",1,1,"twelve",1,"12:48 PM","3","V","Enter 3","unknown","","",NA
"118","dark",1,1,"twelve",1,"12:49 PM","12","D","Enter 12","unknown","","",NA
"119","dark",1,1,"twelve",1,"12:50 PM","8","M","Exit 8","unknown","","",NA
"120","dark",1,1,"twelve",1,"12:50 PM","9","M","Enter 9","unknown","","",NA
"121","dark",1,1,"twelve",1,"1:01 PM","4","T","Exit 4","unknown","","",NA
"122","dark",1,1,"twelve",1,"1:04 PM","Feeder","X","feeding","unknown","","",NA
"123","dark",1,1,"twelve",1,"1:06 PM","Feeder","N","Approach feeder","unknown","","Ran away",NA
"124","dark",1,1,"twelve",1,"1:07 PM","Feeder","P","feeding","unknown","","",NA
"125","dark",1,1,"twelve",1,"1:07 PM","7","X","Enter 7","unknown","","",NA
"126","dark",1,1,"twelve",1,"1:08 PM","Outside 2","B","mount","N","Ran away into 2","","N"
"127","dark",1,1,"twelve",1,"1:09 PM","Outside 4","A","mount","T","Ran away","","T"
"128","dark",1,1,"twelve",1,"1:11 PM","8","P","Enter 8","unknown","","",NA
"129","dark",1,1,"twelve",1,"1:14 PM","Feeder","A","Approach feeder","unknown","","",NA
"130","dark",1,1,"twelve",1,"1:18 PM","Feeder","A","Attempt feeding","unknown","","",NA
"131","dark",1,1,"twelve",1,"1:18 PM","1","F","Moved within 1","unknown","No longer with .9, 8., and :0","",NA
"132","dark",1,1,"twelve",1,"1:19 PM","10","H","Enter 10","I","","","I"
"133","dark",1,1,"twelve",1,"1:21 PM","10","H","Moved within 10","unknown","","",NA
"134","dark",1,1,"twelve",1,"1:23 PM","Feeder","T","feeding","unknown","","",NA
"135","dark",1,1,"twelve",1,"1:23 PM","1","J","Moved within 1","unknown","No longer with 8. and :0","",NA
"136","dark",1,1,"twelve",1,"1:24 PM","10","H","mount","U","Shake and ran away","","U"
"137","dark",1,1,"twelve",1,"1:24 PM","1","J","Moved within 1","unknown","","",NA
"138","dark",1,1,"twelve",1,"1:26 PM","8","M","Enter 8","unknown","","",NA
"139","dark",1,1,"twelve",1,"1:26 PM","8","P","Left 8","unknown","Was touched by 0. and ran away","",NA
"140","dark",1,1,"twelve",1,"1:27 PM","7","P","Enter 7","unknown","","",NA
"141","dark",1,1,"twelve",1,"1:27 PM","Feeder","V","feeding","unknown","","",NA
"142","dark",1,1,"twelve",1,"1:28 PM","4","D","mating","M","Walked around","","M"
"143","dark",1,1,"twelve",1,"1:29 PM","Outside 8","A","mount","R","Ran away","","R"
"144","dark",1,1,"twelve",1,"1:31 PM","Feeder","R","Attempt feeding","unknown","","",NA
"145","dark",1,1,"twelve",1,"1:32 PM","3","V","Enter 3","unknown","","",NA
"146","dark",1,1,"twelve",1,"1:34 PM","10","I","mount","Q","Ran away","","Q"
"147","dark",1,1,"twelve",1,"1:35 PM","10","Q","Exit 10","unknown","","",NA
"148","dark",1,1,"twelve",1,"1:35 PM","1","K","Exit 1","unknown","","",NA
"149","dark",1,1,"twelve",1,"1:36 PM","1","F","Exit 1","unknown","","",NA
"150","dark",1,1,"twelve",1,"1:36 PM","1","J","Moved within 1","unknown","No longer with anyone","",NA
"151","dark",1,1,"twelve",1,"1:37 PM","Feeder","O","Attempt feeding","unknown","","",NA
"152","dark",1,1,"twelve",1,"1:38 PM","Feeder","R","Attempt feeding","unknown","","",NA
"153","dark",1,1,"twelve",1,"1:39 PM","1","K","Enter 1","unknown","","",NA
"154","dark",1,1,"twelve",1,"1:40 PM","10","T","Enter 10","unknown","","",NA
"155","dark",1,1,"twelve",1,"1:42 PM","Outside 2","B","mount","C","","","C"
"156","dark",1,1,"twelve",1,"1:43 PM","Outside 1","E","mount","H","Ran away","","H"
"157","dark",1,1,"twelve",1,"1:43 PM","Feeder","B","feeding","unknown","","",NA
"158","dark",1,1,"twelve",1,"1:45 PM","1","B","Enter 7","unknown","","",NA
"159","dark",1,1,"twelve",1,"1:46 PM","1","K","mount","U","Ran away","","U"
"160","dark",1,1,"twelve",1,"1:46 PM","Outside 1","E","mating","R","","","R"
"161","dark",1,1,"twelve",1,"1:48 PM","7","B","mount","X","1: is tightly against wall","","X"
"162","dark",1,1,"twelve",1,"1:48 PM","1","J","mount","U","","","U"
