,light_phase,network,block,treatment,day,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner,mating_recency
335,light,3,2,twelve,4,89.05,7,L,mating,R,tried running away,,R,24.23
336,light,3,2,twelve,4,73.89,10,K,mating,N,NA,,N,8.76
337,light,3,2,twelve,5,113.13,11,F,mating,Q,moved away slightly but remained under,,Q,3.66
338,light,3,2,twelve,5,118.39,11,F,mating,Q,NA,*difficult to see if female is 4.,Q,5.26
339,light,4,2,two,1,17.44,2,J,mating,R,ran into corner,,R,7.87
340,light,4,2,two,1,17.55,open,F,mating,N,moved away,,N,3.25
341,light,4,2,two,1,17.48,open,K,mating,S,NA,male got off at 29:32,S,8.83
342,light,4,2,two,1,18.38,open,F,mating,P,shook slightly,,P,0.83
343,light,4,2,two,2,41.01,1,F,mating,S,moved around,.5 re mounted 6. after it ran away,S,22.63
344,light,4,2,two,2,25.67,2,E,mating,N,shook,,N,17.14
345,light,4,2,two,4,89.14,open,J,mating,Q,NA,,Q,71.7
346,light,4,2,two,5,100.17,2,I,mating,V,,,V,0.88
347,light,4,2,two,5,99.29,2,I,mating,N,moved into group,,N,62.62
348,light,4,2,two,5,98.25,2,J,mating,N,walked around,male got off at 22:36,N,9.11
349,light,4,2,two,6,138.65,1,F,mating,X,NA,was shaking before mount,X,53.2
350,light,4,2,two,6,127.29,2,I,mating,T,NA,,T,27.12
351,light,4,2,two,6,127.35,2,J,mating,T,shook,,T,14.32
352,light,5,3,two,1,18.44,open,C,mating,W,,,W,9.26
353,light,5,3,two,2,43.92,2,I,mating,U,turned in place,male got off at 10:36,U,2.82
354,light,5,3,two,2,41.28,1,J,mating,U,moved into group of bugs,male got off at 19:27,U,32.06
355,light,5,3,two,2,41.39,1,J,mating,U,ran away,male got off at 27:43,U,0.11
356,light,5,3,two,2,41.04,open,I,mating,O,walked forward periodically,5. bumped back of .8,O,N/A
357,light,5,3,two,2,41.1,open,I,mating,O,walked around,:0 bumped back of .8 at 5:43,O,0.06
358,light,5,3,two,3,65.02,2,F,mating,W,NA,,W,4.67
359,light,5,3,two,3,50.25,1,D,mating,V,NA,,V,12.7
360,light,5,3,two,3,52.44,2,B,mating,W,NA,,W,42.79
361,light,5,3,two,4,89.4,2,F,mating,V,moved into group of bugs,male got off at 26:36,V,24.38
362,light,5,3,two,4,75.51,2,K,mating,X,NA,,X,16.09
363,light,5,3,two,5,116.56,1,G,mating,T,NA,,T,5.49
364,light,6,3,twelve,1,23.42,12,A,mating,Q,NA,,Q,14.72
365,light,6,3,twelve,2,41.06,11,C,mating,O,walked around,,O,28.49
366,light,6,3,twelve,4,80.16,10,F,mating,S,NA,male got off at 23:06,S,69.81
367,light,6,3,twelve,4,77.09,3,G,mating,Q,NA,male got off at 6:18,Q,1.15
368,light,6,3,twelve,4,75.94,3,G,mating,X,started walking at 23:43,,X,13.24
369,light,6,3,twelve,4,73.49,12,L,mating,T,moved into corner,,T,8.84
370,light,6,3,twelve,4,89.63,10,F,mating,S,moved into corner,male got off at 5:46,S,9.47
371,light,6,3,twelve,5,96.8,11,I,mating,N,moved into corner,male got off at 1:01,N,35.6
372,light,6,3,twelve,5,113.45,5,B,mating,M,NA,,M,101.43
