light_phase,network,block,treatment,day,time,location,focal_individual,behaviour,social_partner,partner_response,notes,,,,,,,,,,,
dark,1,1,twelve,1,10:25 AM,8,0:,Enter 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,10:25 AM,2,.1,Enter 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,10:31 AM,5,.3,Move within 5,N/A,No longer touching 1.,,,,,,,,,,,,
dark,1,1,twelve,1,10:36 AM,5,.3,Move within 5,1.,,,,,,,,,,,,,
dark,1,1,twelve,1,10:44 AM,1,1:,Exit 1,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,10:44 AM,11,.0,Move within 11,:1,,,,,,,,,,,,,
dark,1,1,twelve,1,10:50 AM,7,1:,Enter 7,,,,,,,,,,,,,,
dark,1,1,twelve,1,10:50 AM,11,.0,Moe within 11,N/A,No longer with :1,,,,,,,,,,,,
dark,1,1,twelve,1,10:50 AM,5,.3,Mount ,1.,,,,,,,,,,,,,
dark,1,1,twelve,1,11:06 AM,Outside 2,.1,Mount,.4,,,,,,,,,,,,,
dark,1,1,twelve,1,11:11 AM,7,1:,Exit 7,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,11:12 AM,9,.5,Mating,1:,"Walking around, entered 8",,,,,,,,,,,,
dark,1,1,twelve,1,11:13 AM,8,1:,Enter 9,.5,.5 was mating with her when she entered,,,,,,,,,,,,
dark,1,1,twelve,1,11:14 AM,8,1:,Move within 8,N/A,No longer with .5,,,,,,,,,,,,
dark,1,1,twelve,1,11:18 AM,8,.5,Exit 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,11:21 AM,4,.5,Enter 4,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,11:22 AM,Outside 2,.4,Move outside 2,N/A,No longer with .1,,,,,,,,,,,,
dark,1,1,twelve,1,11:26 AM,4,.5,Exit 4,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,11:26 AM,11,.5,Enter 11,N/A,Touched .0 on the way in,,,,,,,,,,,,
dark,1,1,twelve,1,11:29 AM,8,0:,Exit 8,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,11:30 AM,5,1.,Move within 5,N/A,No longer with .3,,,,,,,,,,,,
dark,1,1,twelve,1,11:32 AM,10,0:,Enter 10,N/A,Bumped into 7.,,,,,,,,,,,,
dark,1,1,twelve,1,11:32 AM,10,7.,Exit 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,11:33 AM,12,3.,Exit 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,11:37 AM,10,3.,Enter 10,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,11:41 AM,12,7.,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:05 PM,1,.5,Move within 1,"8., 0., .9",,,,,,,,,,,,,
dark,1,1,twelve,1,12:14 PM,5,6.,Exit 5,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:15 PM,10,3.,Exit 10,N/A,No longer with .7,,,,,,,,,,,,
dark,1,1,twelve,1,12:17 PM,Open,4.,Bump,7.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,12:17 PM,11,.0,Exit 11,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:18 PM,2,3.,Enter 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:18 PM,2,.4,Mount,9.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,12:19 PM,2,3.,Exit 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:19 PM,2,9.,Exit 2,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:21 PM,5,.3,Move within 5,1.,,,,,,,,,,,,,
dark,1,1,twelve,1,12:21 PM,9,9.,Enter 9,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:22 PM,Outside 7,:0,Mount,.0,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,12:23 PM,4,7.,Enter 4,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:23 PM,Open,.0,Mount,3.,Ran away,,,,,,,,,,,,
dark,1,1,twelve,1,12:24 PM,12,6.,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:24 PM,12,.0,Enter 12,N/A,,,,,,,,,,,,,
dark,1,1,twelve,1,12:24 PM,12,.0,Mount,6.,Ran away,,,,,,,,,,,,
