,light_phase,network,block,treatment,day,time,time_sec,time_hour_abs,location,focal_individual,behaviour,social_partner,partner_response,notes,patch_partner
54,dark,1,1,twelve,1,2:37 PM,52620.00,14.62,Open,B,mount,L,,,L
55,dark,1,1,twelve,1,2:42 PM,52920.00,14.70,Open,H,mating,U,,,U
56,dark,1,1,twelve,1,3:06 PM,54360.00,15.10,Open,B,mating,R,Walking around,,R
57,dark,1,1,twelve,1,3:09 PM,54540.00,15.15,10,U,mount,X,Pushed against wall,,X
58,dark,1,1,twelve,1,3:30 PM,55800.00,15.50,2,J,mount,P,Ran away,,P
59,dark,1,1,twelve,1,3:31 PM,55860.00,15.52,Outside 7,G,mating,M,Walking around,,M
60,dark,1,1,twelve,1,3:33 PM,55980.00,15.55,1,J,mount,O,Ran away,,O
61,dark,1,1,twelve,1,3:33 PM,55980.00,15.55,Open,D,mating,U,Walking around,,U
62,dark,1,1,twelve,1,3:37 PM,56220.00,15.62,Open,D,mount,V,Ran away,,V
63,dark,1,1,twelve,1,3:42 PM,56520.00,15.70,8,J,mount,B,Moved away,,B
64,dark,1,1,twelve,1,3:46 PM,56760.00,15.77,Open,J,mount,M,Ran away,,M
65,dark,1,1,twelve,1,4:11 PM,58260.00,16.18,10,F,mount,J,Left big aggregation,,J
66,dark,1,1,twelve,1,4:13 PM,58380.00,16.22,7,J,mount,U,Ran away,,U
67,dark,1,1,twelve,1,4:16 PM,58560.00,16.27,Open,B,mount,T,,,T
68,dark,1,1,twelve,1,4:31 PM,59460.00,16.52,8,K,mount,V,Both ran away and exited 10,,V
69,dark,1,1,twelve,1,4:31 PM,59460.00,16.52,8,K,mount,P,Both ran away and exited 10,,P
70,dark,1,1,twelve,1,4:49 PM,60540.00,16.82,9,O,mount,S,,,S
71,dark,1,1,twelve,2,11:13 AM,40380.00,35.22,Outside 10,C,mount,M,Staying still,,M
72,dark,1,1,twelve,2,11:14 AM,40440.00,35.23,Outside 10,C,mount,M,Move away a little,,M
73,dark,1,1,twelve,2,11:27 AM,41220.00,35.45,12,L,mating,N,Run around,Ran into 0: and 7. (all remained together after),N
74,dark,1,1,twelve,2,12:10 PM,43800.00,36.17,8,A,mount,K,,,K
75,dark,1,1,twelve,2,12:41 PM,45660.00,36.68,8,K,mount,S,Ran away,,S
76,dark,1,1,twelve,2,12:47 PM,46020.00,36.78,8,A,mating,M,N/A,,M
77,dark,1,1,twelve,2,1:03 PM,46980.00,37.05,7,J,mating,O,N/A,,O
78,dark,1,1,twelve,2,1:10 PM,47400.00,37.17,8,B,mount,A,Ran away,,A
