,block,treatment,network,name,sex,size,strength,matings,unique_mates,mating_rate,mounts_in,mounts_in_rate,SCI_weighted
42,1,two,2,S,Female,1.41,2.535682056,4,4,0.666666667,21,3.5,NA
43,1,two,2,T,Female,1.34,2.962521609,7,6,1.166666667,21,3.5,NA
44,1,two,2,U,Female,1.51,3.44533086,8,6,1.333333333,35,5.833333333,NA
45,1,two,2,V,Female,1.46,3.446879633,6,4,1,26,4.333333333,NA
46,1,two,2,W,Female,1.49,4.411506145,7,6,1.166666667,18,3,NA
47,1,two,2,X,Female,1.41,3.137655621,6,6,1,25,4.166666667,NA
48,2,twelve,3,B,Male,1.31,0.482020757,4,4,0.666666667,6,1,4.085106383
49,2,twelve,3,C,Male,1.39,0.71644391,2,2,0.333333333,12,2,3.333333333
50,2,twelve,3,D,Male,1.39,0.875947356,5,3,0.833333333,5,0.833333333,3.512195122
51,2,twelve,3,E,Male,1.31,0.955596991,6,5,1,11,1.833333333,3.585657371
52,2,twelve,3,F,Male,1.38,0.790577165,4,3,0.666666667,11,1.833333333,5.538461538
53,2,twelve,3,G,Male,1.34,1.270981398,7,5,1.166666667,2,0.333333333,3.367633302
54,2,twelve,3,H,Male,1.34,0.831642683,10,5,1.666666667,10,1.666666667,4.986149584
55,2,twelve,3,I,Male,1.36,0.578499738,5,5,0.833333333,15,2.5,5.020920502
56,2,twelve,3,J,Male,1.31,0.754591693,5,4,0.833333333,18,3,4.114285714
57,2,twelve,3,K,Male,1.31,0.830375328,10,7,1.666666667,6,1,3.412322275
58,2,twelve,3,L,Male,1.34,0.649551632,6,5,1,4,0.666666667,4.449938195
59,2,twelve,3,M,Female,1.39,0.629727622,4,4,0.666666667,16,2.666666667,5.796434733
60,2,twelve,3,N,Female,1.44,0.677032193,6,5,1,6,1,NA
61,2,twelve,3,O,Female,1.38,0.985220974,2,2,0.333333333,11,1.833333333,NA
62,2,twelve,3,P,Female,1.46,0.562158951,4,3,0.666666667,41,6.833333333,NA
63,2,twelve,3,Q,Female,1.44,0.917680169,16,8,2.666666667,43,7.166666667,NA
64,2,twelve,3,R,Female,1.44,0.9343407,9,6,1.5,15,2.5,NA
65,2,twelve,3,S,Female,1.48,1.169256783,2,2,0.333333333,9,1.5,NA
66,2,twelve,3,T,Female,1.38,0.599037671,4,4,0.666666667,9,1.5,NA
67,2,twelve,3,U,Female,1.36,0.963008892,2,2,0.333333333,8,1.333333333,NA
68,2,twelve,3,V,Female,1.41,0.254072682,2,2,0.333333333,13,2.166666667,NA
69,2,twelve,3,W,Female,1.38,0.732113029,10,7,1.666666667,18,3,NA
70,2,twelve,3,X,Female,1.38,0.764505908,3,3,0.5,13,2.166666667,NA
71,2,two,4,A,Male,1.38,3.32763043,3,2,0.5,16,2.666666667,4.5
72,2,two,4,B,Male,1.36,6.880759529,8,6,1.333333333,24,4,5.47459893
73,2,two,4,C,Male,1.33,5.67785521,6,5,1,22,3.666666667,5.640495868
74,2,two,4,D,Male,1.44,1.03431087,6,4,1,28,4.666666667,3.620689655
75,2,two,4,E,Male,1.34,6.0105076,7,4,1.166666667,29,4.833333333,4.753509631
76,2,two,4,F,Male,1.39,4.01672434,9,7,1.5,30,5,4.771634865
77,2,two,4,G,Male,1.44,2.72435285,6,5,1,46,7.666666667,6.122906699
78,2,two,4,H,Male,1.38,5.421758778,15,10,2.5,30,5,4.199623111
79,2,two,4,I,Male,1.3,4.310346626,7,5,1.166666667,35,5.833333333,5.11635171
80,2,two,4,J,Male,1.38,4.576032164,7,5,1.166666667,30,5,5.730278118
81,2,two,4,K,Male,1.38,3.359014692,3,2,0.5,27,4.5,4.736842105
82,2,two,4,L,Male,1.34,5.759815596,5,4,0.833333333,26,4.333333333,5.796434733
83,2,two,4,M,Female,1.41,6.559471109,6,4,1,23,3.833333333,NA
84,2,two,4,N,Female,1.48,6.934376887,13,8,2.166666667,29,4.833333333,NA
85,2,two,4,O,Female,1.48,3.724505876,5,4,0.833333333,21,3.5,NA
86,2,two,4,P,Female,1.43,6.276271928,9,6,1.5,50,8.333333333,NA
87,2,two,4,Q,Female,1.46,4.176833436,7,5,1.166666667,29,4.833333333,NA
88,2,two,4,R,Female,1.39,4.64320082,8,6,1.333333333,33,5.5,NA
89,2,two,4,S,Female,1.38,6.615612192,5,4,0.833333333,22,3.666666667,NA
90,2,two,4,T,Female,1.41,7.859909429,9,6,1.5,13,2.166666667,NA
91,2,two,4,U,Female,1.38,7.599489979,7,6,1.166666667,26,4.333333333,NA
92,2,two,4,V,Female,1.31,4.815460538,3,3,0.5,36,6,NA
93,2,two,4,W,Female,1.49,6.642299756,3,3,0.5,27,4.5,NA
94,2,two,4,X,Female,1.41,5.374880893,7,4,1.166666667,27,4.5,NA
95,3,two,5,A,Male,1.39,3.25514923,8,6,1.333333333,35,5.833333333,3.475862069
96,3,two,5,B,Male,1.28,2.431062318,2,2,0.333333333,29,4.833333333,1.714285714
97,3,two,5,C,Male,1.38,3.439341231,4,4,0.666666667,13,2.166666667,5.508196721
98,3,two,5,D,Male,1.34,2.726001812,6,5,1,38,6.333333333,3.387096774
99,3,two,5,E,Male,1.34,3.02595857,1,1,0.166666667,17,2.833333333,6
100,3,two,5,F,Male,1.33,2.212182606,6,4,1,29,4.833333333,2
101,3,two,5,G,Male,1.39,2.11577601,3,3,0.5,35,5.833333333,4.131147541
102,3,two,5,H,Male,1.36,3.689487859,4,3,0.666666667,30,5,2.769230769
103,3,two,5,J,Male,1.33,2.275234817,6,4,1,40,6.666666667,3.5
104,3,two,5,K,Male,1.38,2.777886744,5,4,0.833333333,47,7.833333333,3.574468085
105,3,two,5,L,Male,1.38,3.549698699,3,3,0.5,24,4,4.5
