"","x"
"1",6.0431654676259
"2",4.0467997247075
"3",5.28301886792453
"4",5.53846153846154
"5",2.96296296296296
"6",4.8951048951049
"7",7.47774480712166
"8",4.85081809432146
"9",3.73333333333333
"10",4.13114754098361
"11",7.46666666666667
"12",4.84848484848485
