,partner_response,patch_behaviour
346,started walking at 1:10 PM and .1 got off,n/a
347,shook and ran around shelter,shook
348,started walking at 2:11,n/a
349,staying still; pressed against wall,wall_press
350,stayed still but was pressed against wall,wall_press
351,stayed still but against wall,wall_press
352,staying still; then ran away after male got off,n/a
353,walked around ,moved
354,walked around until .4 fell off,moved
355,walked into corner,wall_press
356,ran around and into corner of shelter,wall_press
357,walked into enterance,moved
358,moved away and shook,shook
